id,year,one_int_loo,two_int_loo,three_int_loo,four_int_loo,five_int_loo
9H,9H-2020-2021,-1253.04093038995,-1100.84529564927,-801.630698423163,-732.991728896096,-633.365731497957
5C,5C-2020-2021,-1997.41748784045,-9999,-1678.15318225108,-1497.22400696885,-1271.23459603873
5C,5C-2021-2022,-1748.06473836909,-9999,-1033.16399019152,-9999,-943.341847036254
2P,2P-2020-2021,-1901.27162370108,-9999,-1326.81090721844,-9999,-1193.18033378258
3P,3P-2020-2021,-2193.78201972704,-9999,-1523.48259655516,-1495.24067095447,-9999
3P,3P-2021-2022,-2431.73470184188,-9999,-1596.91963842789,-1583.14523249176,-9999
1P,1P-2020-2021,-1118.96008425714,-884.817364785486,-9999,-9999,-9999
1P,1P-2021-2022,-2309.03480082298,-2217.02471456519,-1552.66795426045,-9999,-9999
6C,6C-2020-2021,-1016.51764100119,-640.077698081857,-539.948282934129,-9999,-457.397059162606
6C,6C-2021-2022,-1109.64071165279,-536.379870291788,-528.311626093462,-9999,-9999
7C,7C-2020-2021,-1846.60134904402,-9999,-1606.4273877937,-1226.34242870372,-1230.97888794325
7C,7C-2021-2022,-1949.90327916525,-1929.637720423,-1066.56779323809,-9999,-1024.82000677449
0T_2nd,0T_2nd-2020-2021,-964.363637691285,-886.07091885565,-710.864963081481,-9999,-665.10455543812
0T_2nd,0T_2nd-2021-2022,-861.0204313723,-629.807065326368,-383.347718538227,-9999,-9999
8C,8C-2020-2021,-2106.27504543334,-9999,-1498.59078030568,-1454.42017341103,-9999
8C,8C-2021-2022,-2359.47097434336,-2301.04374439483,-1618.96330375548,-9999,-9999
4P,4P-2020-2021,-2171.56590117148,-9999,-1989.30407785977,-1519.54555594238,-9999
4P,4P-2021-2022,-2107.20815749389,-9999,-1999.86934520906,-1552.3584379367,-1518.62895729447
0P,0P-2020-2021,-2183.20036925383,-9999,-1468.79233982048,-1418.24496884256,-9999
0P,0P-2021-2022,-1014.27480534105,-714.906225215578,-711.9901252157,-340.707566492252,-321.08878823082
0E_2nd,0E_2nd-2021-2022,23.0927556975013,53.9629028321677,65.4378850172808,-9999,-9999
6L_2nd,6L_2nd-2021-2022,-1881.45296405763,-1737.62101499057,-9999,-1278.70287885599,-1274.50705661195
9H_2nd,9H_2nd-2021-2022,-2375.08208954286,-9999,-1874.68724187107,-1690.85625037613,-9999
2H_2nd,2H_2nd-2021-2022,-1953.49895861839,-1890.80002336904,-1427.22155240807,-1633.11470001709,-9999
9P,9P-2021-2022,-1901.76247476317,-1795.4501021861,-1159.85601538041,-9999,-9999
8N,8N-2021-2022,-1306.65418888869,-9999,-1181.40557865903,-9999,-1116.78226343399
9N,9N-2021-2022,-2337.21865680364,-1614.53828369351,-9999,-1441.21539155628,-9999
4M,4M-2021-2022,-1206.11303618767,-1185.09009770426,-9999,-920.944555733283,-889.080682014173
5M,5M-2021-2022,-920.841274653029,-900.759206729903,-798.659542138583,-9999,-9999
5P,5P-2021-2022,-2355.66380681132,-2321.51416758157,-1641.32512758134,-1605.48721618907,-1403.98314346275
6M,6M-2021-2022,-2000.16568350428,-1507.96433809699,-9999,-1220.01972372712,-1195.12289777535
7M,7M-2021-2022,-1464.53513356349,-1424.45829463374,-1331.99190301366,-9999,-9999
8M,8M-2021-2022,-694.135095529012,-661.834420579573,-573.421928309367,-9999,-9999
6R_2nd,6R_2nd-2021-2022,-1278.61337214871,-1236.01965601516,-911.431590000822,-9999,-819.494310144165
0L_2nd,0L_2nd-2021-2022,-2321.41641561179,-9999,-1548.37921623503,-1537.69980349773,-1512.28626344352
8E_2nd,8E_2nd-2021-2022,-2323.56417100598,-2183.6036473543,-1498.92973268334,-1470.96240093614,-9999
7P,7P-2021-2022,-1333.37025770517,-1233.3868605964,-962.515875282381,-943.513594986842,-786.046071014921
8P,8P-2021-2022,-1617.06969590169,-9999,-1079.08933558867,-1004.74323909091,-993.738883625031
9M,9M-2021-2022,-125.761210216591,-122.85603663537,-73.7073718059342,-38.7151647830259,-26.7498126017812
9C,9C-2021-2022,-1214.72065661172,-1123.71496315843,-776.703650806901,-9999,-700.189360252444
0C_2nd,0C_2nd-2021-2022,-1067.08136061866,-1037.16858912815,-973.355606400917,-9999,-9999
5H_2nd,5H_2nd-2021-2022,-2454.12171974778,-9999,-2006.44656653789,-1948.11502516295,-1719.27760136179
6P,6P-2021-2022,-1556.87547559698,-1413.02291716557,-1043.8036227322,-9999,-1022.90540972597
0N_2nd,0N_2nd-2021-2022,-2229.44025016801,-9999,-1797.53942740388,-1648.67845665314,-9999
7L,7L-2021-2022,-922.667380326702,-814.282091067803,-750.140177338998,-9999,-665.723327106992
8L,8L-2021-2022,-1405.98855331286,-1224.79096890224,-9999,-976.779703463528,-849.435745749088
9L,9L-2021-2022,-865.575334264634,-771.364648231221,-647.760285195621,-584.727628728477,-568.630823813747
