id,year,one_int_loo,two_int_loo,three_int_loo,four_int_loo,five_int_loo
3L,3L-2020-2021,-1817.85057618979,-9999,-1167.14738482603,-1146.65891562768,-9999
3L,3L-2021-2022,-1876.4952877512,-1798.56493544783,-977.305300203452,-9999,-9999
4L,4L-2020-2021,-1670.89287447016,-9999,-1212.8812899997,-9999,-9999
4L,4L-2021-2022,-1790.40408039525,-1727.60613661894,-1145.8253091774,-9999,-1058.12467314261
7N,7N-2020-2021,-1258.63231076629,-9999,-9999,-936.72195319004,-901.141825389714
7N,7N-2021-2022,-1248.11502617538,-1228.67899616872,-906.153017709882,-797.594386391094,-792.789508790055
5E,5E-2020-2021,-2484.89523719819,-9999,-1992.88922058833,-1898.1201862869,-1680.38099757547
5E,5E-2021-2022,-992.315289298128,-805.589976367811,-751.815609164227,-626.851670524844,-9999
4E,4E-2020-2021,-2046.93226223935,-9999,-1686.51744818471,-1594.06093470032,-1547.51255888265
6L,6L-2020-2021,-1934.09740836201,-1835.33889306286,-1376.01503428206,-1364.23077251116,-1341.54144495599
9J (swan originally collared as 5J),9J (swan originally collared as 5J)-2020-2021,-1007.47003332605,-1002.43336539754,-9999,-9999,-965.853317087975
9J (swan originally collared as 5J),9J (swan originally collared as 5J)-2021-2022,-6.65721769341162,8.40554157178557,-9999,26.4237428372394,-9999
5L,5L-2020-2021,-2220.04713894574,-1870.39576398243,-1719.5073762441,-1711.47803005998,-9999
5L,5L-2021-2022,-2351.04873755555,-9999,-9999,-1703.96299632855,-1619.28250604411
7K,7K-2020-2021,-1067.82052500929,-971.080229495488,-9999,-737.101125331054,-9999
7K,7K-2021-2022,-489.571983699664,-386.88833393533,-352.659585486808,-324.625245764203,-317.343710538233
0C,0C-2020-2021,-110.184368515942,-9999,-9999,-9999,-9999
2C,2C-2020-2021,-738.284027473107,-690.674779791606,-388.022633252186,-352.134682579406,-9999
2C,2C-2021-2022,-845.512532885693,-801.551238627869,-543.160422303581,-9999,-9999
1C,1C-2020-2021,-2144.4628605275,-2113.77030509629,-1662.70540104863,-1483.85792367073,-9999
1C,1C-2021-2022,-1089.72692978307,-958.215369662113,-952.069054997701,-849.343122867112,-9999
3C,3C-2020-2021,-1826.67720205836,-1803.01120903974,-1387.00865065128,-1270.80730897891,-9999
3C,3C-2021-2022,-2057.83629291506,-2026.1397090968,-1588.48550438134,-1525.09622468079,-1521.65791096949
4C,4C-2020-2021,-1858.76851654533,-9999,-1257.15432081705,-9999,-9999
4C,4C-2021-2022,-2143.7006963163,-2103.90254894173,-1413.62223173684,-9999,-1261.0924152756
