id,year,one_int_loo,two_int_loo,three_int_loo,four_int_loo,five_int_loo,six_int_loo,seven_int_loo
NA,NA,NA,NA,NA,NA,NA,NA,NA
3P,3P-2021-2022,-2431.74161873483,-2366.15928825488,-1595.43413540066,-1581.20954862764,-1575.00678386392,-9999,-9999
1P,1P-2020-2021,-1118.96947566204,-884.896475104434,-9999,-9999,-9999,-9999,-9999
1P,1P-2021-2022,-2309.05178873481,-9999,-1553.08788842518,-9999,-9999,-9999,-9999
6C,6C-2020-2021,-1016.51531020619,-640.139582419928,-539.950906784434,-9999,-9999,-9999,-9999
6C,6C-2021-2022,-1109.62537105598,-536.391428913122,-529.345095970978,-520.434125546717,-9999,-9999,-9999
7C,7C-2020-2021,-1846.64510527003,-9999,-1606.26753340772,-1233.02793595132,-9999,-9999,-9999
7C,7C-2021-2022,-1949.91076643787,-1929.62992473009,-1068.31739592139,-1050.8154141802,-1027.89295197167,-9999,-747.799234028367
0T_2nd,0T_2nd-2020-2021,-964.348126108625,-886.086389557202,-710.907510994852,-689.427013750064,-664.523817233353,-639.606317010342,-9999
0T_2nd,0T_2nd-2021-2022,-861.055988072517,-629.611499709928,-383.386105939552,-9999,-9999,-284.765276253839,-9999
8C,8C-2020-2021,-2106.2925854282,-2071.82700268776,-1498.66540877818,-1454.55351796996,-9999,-1197.00272470458,-1166.56589893404
8C,8C-2021-2022,-2359.46703828162,-2300.99272004993,-1618.80224522899,-1604.91226162541,-9999,-9999,-9999
4P,4P-2020-2021,-2171.57748634117,-9999,-1989.56980281418,-1519.46933953863,-9999,-9999,-9999
4P,4P-2021-2022,-2107.2174406619,-9999,-1999.65399305059,-1552.32566829179,-1518.43739123406,-1487.6646821242,-1489.14101947439
0P,0P-2020-2021,-2183.18058107695,-2089.98152307015,-1468.86735764446,-1420.31877680791,-9999,-9999,-9999
0P,0P-2021-2022,-1014.33758638375,-720.129688582487,-712.011232146542,-341.056476772766,-321.669366888826,-9999,-9999
0E_2nd,0E_2nd-2021-2022,23.1133083045101,53.6466986485562,64.7932397749043,72.7296136175773,-9999,-9999,-9999
6L_2nd,6L_2nd-2021-2022,-1881.45757130628,-1737.63035818113,-1729.7622759826,-1278.69193559492,-1275.85788798788,-1229.98084345489,-9999
9H_2nd,9H_2nd-2021-2022,-2375.05619034095,-2315.66202218196,-1874.65491957476,-9999,-9999,-1389.16627290988,-1376.03469017351
2H_2nd,2H_2nd-2021-2022,-1953.49067724837,-9999,-9999,-1371.06879270715,-9999,-9999,-9999
9P,9P-2021-2022,-1901.72885647065,-9999,-1160.97936709191,-9999,-9999,-9999,-9999
8N,8N-2021-2022,-1306.65893082185,-9999,-1181.42028035015,-9999,-9999,-921.79021157409,-9999
9N,9N-2021-2022,-2337.1787469103,-1611.87870428476,-9999,-9999,-9999,-9999,-9999
4M,4M-2021-2022,-1206.1072431149,-9999,-1135.91562246,-922.395015556746,-888.611458113316,-880.835269335911,-9999
5M,5M-2021-2022,-920.834336305879,-900.73405580327,-798.602867495888,-9999,-9999,-9999,-9999
5P,5P-2021-2022,-2355.68025010346,-2304.28988970874,-1640.44960692589,-9999,-1405.71519747689,-9999,-9999
6M,6M-2021-2022,-1999.98132314508,-1507.73640738829,-1487.88986480631,-1223.03064266078,-1195.43975998328,-9999,-9999
7M,7M-2021-2022,-1464.47294903086,-1424.2609903918,-1331.98071705439,-1332.14781639398,-9999,-9999,-9999
8M,8M-2021-2022,-694.163020707105,-661.914163782136,-573.804498399165,-9999,-9999,-9999,-9999
6R_2nd,6R_2nd-2021-2022,-1278.61330676377,-1236.0015237126,-911.554543108093,-9999,-9999,-9999,-800.650887376127
0L_2nd,0L_2nd-2021-2022,-2321.3882293682,-2293.70648368464,-1548.19167910098,-1537.53701011065,-9999,-9999,-9999
8E_2nd,8E_2nd-2021-2022,-2323.56121154475,-2183.77684860873,-1498.95619230345,-9999,-9999,-9999,-9999
7P,7P-2021-2022,-1333.37091068008,-1233.46381373291,-962.725305715882,-9999,-9999,-9999,-766.977137083361
8P,8P-2021-2022,-1617.27026303874,-9999,-1078.09175403953,-9999,-992.253528361744,-9999,-9999
9M,9M-2021-2022,-125.425068157648,-122.926417266206,-73.7478278332421,-38.6185140421825,-27.4926231473199,-10.3077843193759,-9999
9C,9C-2021-2022,-1214.68668898777,-1123.66262774201,-776.588021542743,-9999,-9999,-694.818894191886,-9999
0C_2nd,0C_2nd-2021-2022,-1067.14830842656,-1037.13762047435,-972.980790698878,-9999,-9999,-9999,-9999
5H_2nd,5H_2nd-2021-2022,-2454.12643031788,-2411.4254197164,-2005.76246303084,-1947.2737550918,-1718.80916293577,-9999,-9999
6P,6P-2021-2022,-1556.85713681759,-1412.99301879754,-1043.80018772454,-1031.21635735292,-9999,-9999,-9999
0N_2nd,0N_2nd-2021-2022,-2229.45601000058,-9999,-1797.57595572771,-1648.73167514992,-9999,-9999,-9999
7L,7L-2021-2022,-922.666223067648,-814.296616180926,-750.441772458161,-9999,-9999,-556.54171688894,-9999
8L,8L-2021-2022,-1405.97810714761,-1224.77233224762,-9999,-976.6863708893,-849.96665471692,-839.413173021602,-818.333465025749
9L,9L-2021-2022,-865.557000572931,-771.345545816313,-647.83494708151,-584.758678655874,-9999,-551.404348418127,-9999
